Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/01/04,AMLP,AMLP,S,CBOE,116
2021/01/04,AMN,AMN,S,CBOE,15
2021/01/04,AMOT,AMOT,S,CBOE,3
2021/01/04,AMP,AMP,S,CBOE,91
2021/01/04,AMPE,AMPE,S,CBOE,1049
2021/01/04,AMPY,AMPY,S,CBOE,21
2021/01/04,AMRC,AMRC,S,CBOE,21
2021/01/04,AMRN,AMRN,S,CBOE,1454
2021/01/04,AMRS,AMRS,S,CBOE,1286
2021/01/04,AMRX,AMRX,S,CBOE,32
2021/01/04,AMSC,AMSC,S,CBOE,5
2021/01/04,AMT,AMT,S,CBOE,491
2021/01/04,AMWD,AMWD,S,CBOE,14
2021/01/04,AMWL,AMWL,S,CBOE,577
2021/01/04,AMZN,AMZN,S,CBOE,52626
2021/01/04,AN,AN,S,CBOE,255
2021/01/04,ANAB,ANAB,S,CBOE,4
2021/01/04,ANDE,ANDE,S,CBOE,80
2021/01/04,ANET,ANET,S,CBOE,120
2021/01/04,ANF,ANF,S,CBOE,170
2021/01/04,ANGI,ANGI,S,CBOE,432
2021/01/04,ANGL,ANGL,S,CBOE,12
2021/01/04,ANIK,ANIK,S,CBOE,6
2021/01/04,ANIP,ANIP,S,CBOE,63
2021/01/04,ANSS,ANSS,S,CBOE,100
2021/01/04,ANTE,ANTE,S,CBOE,2062
2021/01/04,ANTM,ANTM,S,CBOE,389
2021/01/04,AON,AON,S,CBOE,128
2021/01/04,AOS,AOS,S,CBOE,48
2021/01/04,AP,AP,S,CBOE,20
2021/01/04,APA,APA,S,CBOE,2829
2021/01/04,APAM,APAM,S,CBOE,7
2021/01/04,APD,APD,S,CBOE,219
2021/01/04,APEI,APEI,S,CBOE,1
2021/01/04,APG,APG,S,CBOE,28
2021/01/04,APHA,APHA,S,CBOE,1392
2021/01/04,APLE,APLE,S,CBOE,5
2021/01/04,APLS,APLS,S,CBOE,2
2021/01/04,APO,APO,S,CBOE,760
2021/01/04,APOG,APOG,S,CBOE,4
2021/01/04,APPN,APPN,S,CBOE,894
2021/01/04,APPS,APPS,S,CBOE,1124
2021/01/04,APRN,APRN,S,CBOE,377
2021/01/04,APT,APT,S,CBOE,137
2021/01/04,APTV,APTV,S,CBOE,349
2021/01/04,APXT,APXT,S,CBOE,1829
2021/01/04,AQMS,AQMS,S,CBOE,270
2021/01/04,AQN,AQN,S,CBOE,11
2021/01/04,AR,AR,S,CBOE,435
2021/01/04,ARAY,ARAY,S,CBOE,32
2021/01/04,ARCC,ARCC,S,CBOE,68
2021/01/04,ARCH,ARCH,S,CBOE,10
2021/01/04,ARCT,ARCT,S,CBOE,1084
2021/01/04,ARDX,ARDX,S,CBOE,23
2021/01/04,ARE,ARE,S,CBOE,3
2021/01/04,ARES,ARES,S,CBOE,5
2021/01/04,ARGX,ARGX,S,CBOE,1
2021/01/04,ARKF,ARKF,S,CBOE,449
2021/01/04,ARKG,ARKG,S,CBOE,1458
2021/01/04,ARKK,ARKK,S,CBOE,9079
2021/01/04,ARKQ,ARKQ,S,CBOE,450
2021/01/04,ARKW,ARKW,S,CBOE,117
2021/01/04,ARLO,ARLO,S,CBOE,94
2021/01/04,ARLP,ARLP,S,CBOE,92
2021/01/04,ARMK,ARMK,S,CBOE,77
2021/01/04,ARNA,ARNA,S,CBOE,28
2021/01/04,ARNC,ARNC,S,CBOE,2
2021/01/04,ARR,ARR,S,CBOE,112
2021/01/04,ARRY,ARRY,S,CBOE,156
2021/01/04,ARVN,ARVN,S,CBOE,20
2021/01/04,ARW,ARW,S,CBOE,1
2021/01/04,ARWR,ARWR,S,CBOE,85
2021/01/04,ASA,ASA,S,CBOE,9
2021/01/04,ASAN,ASAN,S,CBOE,196
2021/01/04,ASC,ASC,S,CBOE,14
2021/01/04,ASH,ASH,S,CBOE,126
2021/01/04,ASHR,ASHR,S,CBOE,258
2021/01/04,ASMB,ASMB,S,CBOE,235
2021/01/04,ASML,ASML,S,CBOE,325
2021/01/04,ASND,ASND,S,CBOE,10
2021/01/04,ASO,ASO,S,CBOE,87
2021/01/04,ASRT,ASRT,S,CBOE,128
2021/01/04,ASYS,ASYS,S,CBOE,3
2021/01/04,AT,AT,S,CBOE,4
2021/01/04,ATCO,ATCO,S,CBOE,49
2021/01/04,ATEN,ATEN,S,CBOE,14
2021/01/04,ATEX,ATEX,S,CBOE,3
2021/01/04,ATH,ATH,S,CBOE,6
2021/01/04,ATHX,ATHX,S,CBOE,35
2021/01/04,ATI,ATI,S,CBOE,23
2021/01/04,ATLC,ATLC,S,CBOE,37
2021/01/04,ATNM,ATNM,S,CBOE,84
2021/01/04,ATNX,ATNX,S,CBOE,3
2021/01/04,ATO,ATO,S,CBOE,1
2021/01/04,ATOM,ATOM,S,CBOE,144
2021/01/04,ATR,ATR,S,CBOE,15
2021/01/04,ATRA,ATRA,S,CBOE,8
2021/01/04,ATRS,ATRS,S,CBOE,12
2021/01/04,ATSG,ATSG,S,CBOE,30
2021/01/04,ATUS,ATUS,S,CBOE,169
2021/01/04,ATVI,ATVI,S,CBOE,3596
2021/01/04,AU,AU,S,CBOE,971
2021/01/04,AUB,AUB,S,CBOE,5
2021/01/04,AUDC,AUDC,S,CBOE,19
2021/01/04,AUPH,AUPH,S,CBOE,516
2021/01/04,AUY,AUY,S,CBOE,3396
2021/01/04,AVA,AVA,S,CBOE,13
2021/01/04,AVB,AVB,S,CBOE,117
2021/01/04,AVDL,AVDL,S,CBOE,10
2021/01/04,AVEO,AVEO,S,CBOE,33
2021/01/04,AVGO,AVGO,S,CBOE,1871
2021/01/04,AVID,AVID,S,CBOE,173
2021/01/04,AVLR,AVLR,S,CBOE,50
2021/01/04,AVNT,AVNT,S,CBOE,1
2021/01/04,AVT,AVT,S,CBOE,2
2021/01/04,AVTR,AVTR,S,CBOE,190
2021/01/04,AVXL,AVXL,S,CBOE,83
2021/01/04,AVYA,AVYA,S,CBOE,85
2021/01/04,AWI,AWI,S,CBOE,8
2021/01/04,AWK,AWK,S,CBOE,35
2021/01/04,AWR,AWR,S,CBOE,24
2021/01/04,AXDX,AXDX,S,CBOE,125
2021/01/04,AXGN,AXGN,S,CBOE,5
2021/01/04,AXL,AXL,S,CBOE,80
2021/01/04,AXNX,AXNX,S,CBOE,104
